TSCA,HAPS,EHS,COI,RTK,SVHC,RED,EPA,LTAP,SNUR List,NES HAPS,"PBT
(WAC 173-333-320)",IARC
1000006-46-1,75-07-0,107-02-8,75-07-0,75-07-0,7789-09-5,7631-89-2,107-15-3,7664-41-7,13825-25-7,106-89-8,118-74-1,100-00-5
10000-42-7,60-35-5,79-06-1,107-02-8,60-35-5,11066-49-2,7789-09-5,301-04-2,71-36-3,1138156-39-4,106-99-0,1321-64-8,100-17-4
100-00-5,75-05-8,107-13-1,107-13-1,75-05-8,26543-97-5,7789-42-6,78-00-2,7440-39-3,1078715-83-9,107-06-2,1321-65-9,100-40-3
1000-05-1,98-86-2,62-53-3,542-88-1,98-86-2,25154-52-3,26543-97-5,75-56-9,10049-04-4,12230-80-7,107-13-1,1335-87-1,100-41-4
100011-37-8,53-96-3,98-07-7,106-99-0,53-96-3,90481-04-2,25154-52-3,75-12-7,7440-50-8,122035-71-6,108-88-3,1335-88-2,100-42-5
100-01-6,107-02-8,100-44-7,75-15-0,107-02-8,104-40-5,104-40-5,107-06-2,25376-45-8,148240-81-7,108-95-2,143-50-0,100-75-4
1000172-32-6,79-06-1,542-88-1,463-58-1,79-06-1,84852-15-3,84852-15-3,96-18-4,606-20-2,106008-94-0,126-99-8,1746-01-6,10026-24-1
100-02-7,79-10-7,57-74-9,7782-50-5,79-10-7,7775-11-3,7775-11-3,79-01-6,7783-06-4,1382106-64-0,127-18-4,1763-23-1,10043-66-0
10003-69-7,107-13-1,79-11-8,67-66-3,107-13-1,7789-06-2,7789-06-2,127-18-4,78-93-3,13568-33-7,1314-13-2,189-55-9,10043-92-2
100-03-8,107-05-1,67-66-3,107-30-2,107-05-1,71850-09-4,71850-09-4,71-55-6,7697-37-2,13654-09-6,132207-32-0,189-64-4,10048-13-2
100042-81-7,92-67-1,107-30-2,57-14-7,92-67-1,71868-10-5,26523-78-4,75-09-2,110-86-1,1370442-66-2,55204-38-1,191-24-2,10048-32-5
100-04-9,62-53-3,95-48-7,106-89-8,62-53-3,119313-12-1,556-67-2,108-90-7,7664-93-9,101646-63-3,56-23-5,192-65-4,10098-97-2
100-05-0,90-04-0,111-44-4,75-00-3,90-04-0,3050-88-2,7439-92-1,541-73-1,91-08-7,1067881-45-1,67-66-3,193-39-5,101-14-4
1000-50-6,1332-21-4,62-73-7,151-56-4,1332-21-4,26523-78-4,540-97-6,95-50-1,7440-66-6,163792,71-43-2,19408-74-3,101-21-3
10005-29-5,71-43-2,57-14-7,75-21-8,71-43-2,98-54-4,84-61-7,75-63-8,,100402-91-3,71-55-6,194-59-2,101-25-7
1000-56-2,92-87-5,77-78-1,50-00-0,92-87-5,110-49-6,541-02-6,75-69-4,,101646-62-2,7439-96-5,198-55-0,101-61-1
100-06-1,98-07-7,534-52-1,302-01-2,98-07-7,67118-55-2,513-78-0,75-71-8,,12438-71-0,7439-97-6,205-82-3,101-68-8
10006-28-7,100-44-7,106-89-8,7647-01-0,100-44-7,2062-98-8,13560-89-9,76-11-9,,129733-59-1,7440-02-0,205-99-2,101-77-9
1000-67-5,92-52-4,151-56-4,7664-39-3,92-52-4,62037-80-3,355-46-4,76-12-0,,12031-65-1,7440-41-7,206-44-0,101-80-4
1000-70-0,117-81-7,75-21-8,74-87-3,117-81-7,13252-13-6,335-76-2,76-13-1,,100-53-8,7440-43-9,207-08-9,101-90-6
100-07-2,542-88-1,50-00-0,60-34-4,542-88-1,129-00-0,80-05-7,76-14-2,,166432-37-7,7440-47-3,218-01-9,101043-37-2
10007-84-8,75-25-2,77-47-4,624-83-9,75-25-2,85-01-8,375-95-1,75-43-4,,107934-68-9,7440-50-8,224-42-0,102-50-1
1000-82-4,106-99-0,302-01-2,98-95-3,106-99-0,206-44-0,10124-36-4,75-88-7,,1191244-16-2,7440-66-6,226-36-8,102-71-6
1000-83-5,156-62-7,7647-01-0,75-44-5,156-62-7,207-08-9,7790-79-6,107-16-4,,121585,75-01-4,22967-92-6,103-03-7
1000-84-6,105-60-2,7664-39-3,7803-51-2,133-06-2,6807-17-6,10108-64-2,30525-89-4,,125997-20-8,75-09-2,2385-85-5,103-11-7
1000-90-4,133-06-2,7783-06-4,7723-14-0,63-25-2,15087-24-8,301-04-2,50-00-0,,135364-47-5,75-21-8,25637-99-4,103-23-1
100-09-4,63-25-2,123-31-9,75-56-9,75-15-0,61788-32-7,84-75-3,75-74-1,,124595,75-35-4,2795-39-3,103-33-3
10010-67-0,75-15-0,58-89-9,75-55-8,56-23-5,556-67-2,1306-23-6,1600-27-7,,148373-01-7,77-47-4,29081-56-9,103-90-2
100-10-7,56-23-5,74-83-9,7550-45-0,463-58-1,7439-92-1,335-67-1,22967-92-6,,157707-95-4,79-01-6,29457-72-5,103-90-2
10010-74-9,463-58-1,624-83-9,108-05-4,120-80-9,107-15-3,131-18-0,593-74-8,,1690-76-2,Chlorinated Benzenes,309-00-2,10380-28-6
1001161-63-2,120-80-9,98-95-3,75-01-4,133-90-4,540-97-6,1306-19-0,57-14-7,,1163-19-5,Chlorofluorocarbon—113,31508-00-6,104-94-9
1001164-15-3,133-90-4,62-75-9,75-35-4,57-74-9,12008-41-2,7440-43-9,59-88-1,,13827-02-6,Coke Oven Emissions,32241-08-0,105-11-3
100-11-8,57-74-9,56-38-2,75-86-5,7782-50-5,84-61-7,3825-26-1,60-34-4,,1078715-61-3,Inorganic Arsenic,32534-81-9,105-55-5
100-12-9,7782-50-5,108-95-2,814-68-6,79-11-8,541-02-6,26027-38-3,60-29-7,,15667-63-7,Polycyclic Organic Matter,32536-52-0,105-60-2
1001354-72-8,79-11-8,75-44-5,107-18-6,532-27-4,191-24-2,68412-54-4,62-75-9,,103490-08-0,Radionuclides,32598-14-4,105-74-8
100-14-1,532-27-4,7803-51-2,107-11-9,108-90-7,552-30-7,9016-45-9,64-18-6,,13049-88-2,,3268-87-9,10540-29-1
1001416-18-7,108-90-7,7723-14-0,20859-73-8,510-15-6,93925-00-9,37205-87-1,64-17-5,,159570,,32774-16-6,105650-23-5
100-15-2,510-15-6,57-57-8,78-53-5,67-66-3,218-01-9,127087-87-0,64-19-7,,103331-86-8,,35822-46-9,105735-71-5
1001-58-7,67-66-3,75-56-9,7664-41-7,107-30-2,10325-94-7,12141-20-7,67-72-1,,1072227-60-1,,38380-08-4,10595-95-6
10016-20-3,107-30-2,75-55-8,7783-70-2,126-99-8,21041-95-2,1319-46-6,67-66-3,,108260,,39001-02-0,10599-90-3
100-16-3,126-99-8,7550-45-0,7784-34-1,1319-77-3,513-78-0,307-55-1,67-64-1,,112-49-2,,39227-28-6,106-46-7
10017-37-5,1319-77-3,584-84-9,7784-42-1,95-48-7,56-55-3,12202-17-4,67-63-0,,14720-55-9,,39365-31-9,106-47-8
100-17-4,95-48-7,8001-35-2,10294-34-5,108-39-4,13560-89-9,78-00-2,67-56-1,,1267611-06-2,,40321-76-4,106-50-3
10017-56-8,108-39-4,108-05-4,353-42-4,106-44-5,68259-08-5,62229-08-7,71-36-3,,1489-69-6,,50-29-3,106-51-4
10017-59-1,106-44-5,75-86-5,7726-95-6,98-82-8,355-46-4,11120-22-2,71-23-8,,152853,,50585-41-6,106-87-6
100-18-5,98-82-8,1752-30-3,4170-30-3,94-75-7,3871-99-6,68784-75-8,74-99-7,,165538,,51207-31-9,106-88-7
100188-12-3,94-75-7,814-68-6,123-73-9,334-88-3,70225-16-0,12065-90-6,74-98-6,,1069136-34-0,,52663-72-6,106-89-8
10018-87-8,3547-04-4,111-69-3,79-22-1,132-64-9,55120-77-9,72629-94-8,74-96-4,,109525;UID-2016-00068,,53-70-3,106-91-2
100208-96-6,334-88-3,116-06-3,108-23-6,96-12-8,70136-72-0,1314-41-6,74-95-3,,148240-84-0,,55673-89-7,106-93-4
100-20-9,132-64-9,309-00-2,109-61-5,84-74-2,72033-41-1,12060-00-3,74-89-5,,13893-53-3,,56-49-5,106-94-5
1002097-01-9,96-12-8,107-18-6,51-75-2,106-46-7,82382-12-5,12036-76-9,74-88-4,,1246194-73-9,,57117-31-4,106-99-0
100-21-0,84-74-2,107-11-9,108-91-8,91-94-1,866621-50-3,1317-36-8,74-87-3,,134077,,57117-41-6,107-02-8
10021-55-3,106-46-7,20859-73-8,19287-45-7,111-44-4,910606-39-2,10099-74-8,74-86-2,,13223-43-3,,57117-44-9,107-05-1
100-22-1,91-94-1,2763-96-4,149-74-6,542-75-6,911027-68-4,20837-86-9,74-85-1,,158726,,576-53-8,107-06-2
10022-28-3,111-44-4,54-62-6,75-78-5,62-73-7,911027-69-5,13814-96-5,74-84-0,,104503-68-6,,57-74-9,107-13-1
10022-31-8,542-75-6,504-24-5,107-15-3,111-42-2,92011-17-1,376-06-7,74-83-9,,158715,,59536-65-1,107-14-2
1002-23-9,62-73-7,78-53-5,79-21-0,121-69-7,928049-42-7,2058-94-8,74-82-8,,148812-65-1,,60-57-1,107-30-2
1002-28-4,111-42-2,3734-97-2,505-60-2,64-67-5,1000597-52-3,91031-62-8,75-21-8,,125476-71-3,,60851-34-5,1071-83-6
100-23-2,121-69-7,7664-41-7,538-07-8,119-90-4,108427-54-9,12578-12-0,75-07-0,,112233,,608-93-5,1072-52-2
